4045
id02943	66.0	25.2333
id03068	69.8444	20.9333
id03069	69.6444	21.1667
id03070	69.4333	21.3667
id03071	69.2111	21.6
id03072	69.0083	21.8333
id03073	68.8	22.0444
id03074	68.6	22.2667
id03075	68.3333	22.4333
id03076	68.1556	22.7
id03077	67.8667	22.8583
id03078	67.5333	22.8689
id03079	67.3897	23.1667
id03080	67.4271	23.5
id03081	67.3333	23.6549
id03082	67.1667	23.3939
id03083	67.0143	23.6667
id03084	66.9133	24.0
id03085	66.7667	24.2778
id03086	66.6	24.5333
id03087	66.45	24.8333
id03223	93.1	13.8741
id03224	93.2889	13.8333
id03225	93.2096	13.6667
id03226	93.1667	13.4986
id03227	93.1024	13.3
id03228	93.0638	13.1333
id03229	93.0104	12.9333
id03230	93.007	12.7667
id03231	92.9982	12.5667
id03232	93.0667	12.4077
id03233	93.1444	12.2667
id03234	93.1693	12.0667
id03235	93.1195	11.9
id03236	93.1	11.7648
id03237	92.9667	11.8531
id03238	92.8146	11.8333
id03239	92.7718	11.6333
id03240	92.7293	11.4667
id03241	92.7072	11.2333
id03242	92.7043	11.0667
id03243	92.687	10.9333
id03244	92.6711	10.7667
id03245	92.65	10.5667
id03246	92.5048	10.4667
id03247	92.3333	10.4943
id03248	92.33	10.6333
id03249	92.28	10.8333
id03250	92.4387	10.9
id03251	92.5444	11.0333
id03252	92.5333	11.2
id03253	92.4243	11.3
id03254	92.3614	11.4667
id03255	92.1756	11.5333
id03256	92.3	11.5897
id03257	92.4373	11.6667
id03258	92.4194	11.8667
id03259	92.5333	11.981
id03260	92.5311	12.1667
id03261	92.3813	12.1667
id03262	92.3573	12.2667
id03263	92.5	12.35
id03264	92.5867	12.5
id03265	92.6306	12.6333
id03266	92.597	12.7667
id03267	92.5333	12.913
id03268	92.5513	13.0667
id03269	92.4867	13.2333
id03270	92.5333	13.3686
id03271	92.6667	13.4
id03272	92.7024	13.5667
id03273	92.7	13.6783
id03274	92.8396	13.7
id03275	112.0	-8.3278
id03276	111.8317	-8.3
id03277	111.7	-8.409
id03278	111.5429	-8.3667
id03279	111.4	-8.3295
id03280	111.2	-8.2966
id03281	111.0333	-8.2785
id03282	110.8333	-8.2403
id03283	110.6447	-8.2
id03284	110.4667	-8.138
id03285	110.3	-8.0722
id03286	110.1333	-8.0111
id03287	109.9667	-7.9631
id03288	109.8	-8.0014
id03289	109.6667	-7.9278
id03290	109.4917	-7.8667
id03291	109.3	-7.8306
id03292	109.1	-7.8571
id03293	108.9	-7.8318
id03294	108.6667	-7.8158
id03295	108.4667	-7.861
id03296	108.2667	-7.8889
id03297	108.0667	-7.8488
id03298	107.9	-7.7838
id03299	107.7333	-7.7
id03300	107.5667	-7.6435
id03301	107.4	-7.5847
id03302	107.2	-7.5381
id03303	107.0333	-7.4973
id03304	106.8333	-7.5242
id03305	106.7	-7.4943
id03306	106.5667	-7.503
id03307	106.4333	-7.4064
id03308	106.3269	-7.3
id03309	106.4289	-7.1667
id03310	106.5151	-7.0333
id03311	106.3667	-7.0052
id03312	106.1667	-6.9674
id03313	106.0	-6.9014
id03314	105.8543	-6.9333
id03315	105.6754	-7.0
id03316	105.5014	-7.0667
id03317	105.4667	-7.0148
id03318	105.4111	-6.9667
id03319	105.3545	-6.9
id03320	105.2308	-6.8
id03321	105.1667	-6.676
id03322	105.1214	-6.5667
id03323	105.3	-6.5326
id03324	105.4667	-6.5727
id03325	105.5667	-6.4333
id03326	105.6	-6.2333
id03327	105.4667	-6.1992
id03328	105.3294	-6.1
id03329	105.3914	-5.9333
id03330	105.2333	-5.8419
id03331	105.0667	-5.7915
id03332	104.9	-5.7036
id03333	104.7667	-5.6212
id03334	104.6	-5.5529
id03335	104.660285	-5.697486
id03336	104.7176	-5.8667
id03337	104.7287	-6.0333
id03338	104.7181	-6.2667
id03339	104.6	-6.1778
id03340	104.516	-6.0333
id03341	104.4333	-5.8885
id03342	104.335	-5.7333
id03343	104.256	-5.6
id03344	104.1318	-5.5
id03345	104.0238	-5.3667
id03346	103.9	-5.2403
id03347	103.8667	-5.125
id03348	103.7306	-5.0333
id03349	103.5667	-4.9391
id03350	103.4052	-4.8667
id03351	103.2902	-4.7667
id03352	103.1429	-4.7
id03353	103.0333	-4.6115
id03354	102.8963	-4.6
id03355	102.7333	-4.5133
id03356	102.6333	-4.3788
