#id lon lat MIH hmax period
id03326 105.600000 -6.233300 0.61 0.19 1417
id03327 105.466700 -6.199200 0.76 0.21 1598
id03328 105.329400 -6.100000 0.63 0.17 1469
id03329 105.391400 -5.933300 0.69 0.20 1203
id03330 105.233300 -5.841900 0.80 0.21 1349
id03331 105.066700 -5.791500 0.94 0.26 1552
id03332 104.900000 -5.703600 0.95 0.30 2239
id03333 104.766700 -5.621200 0.99 0.29 1950
id03334 104.600000 -5.552900 0.68 0.20 1210
id03335 104.660285 -5.697486 0.82 0.23 1021
id03336 104.717600 -5.866700 1.44 0.38 1379
id03337 104.728700 -6.033300 1.28 0.38 1816
id03338 104.718100 -6.266700 1.19 0.35 1154
id03339 104.600000 -6.177800 1.27 0.29 795
id03340 104.516000 -6.033300 0.87 0.25 1042
id03341 104.433300 -5.888500 1.08 0.29 903
id03342 104.335000 -5.733300 0.62 0.22 1897
id03343 104.256000 -5.600000 0.53 0.16 1275
id03344 104.131800 -5.500000 0.79 0.23 1087
id03345 104.023800 -5.366700 0.61 0.18 1192
id03346 103.900000 -5.240300 0.40 0.15 2121
id03347 103.866700 -5.125000 0.73 0.19 858
id03348 103.730600 -5.033300 0.94 0.27 1143
id03349 103.566700 -4.939100 -1.00 -1.00 -1
id03350 103.405200 -4.866700 -1.00 -1.00 -1
id03351 103.290200 -4.766700 0.55 0.20 3143
id03352 103.142900 -4.700000 0.70 0.26 3134
id03353 103.033300 -4.611500 0.84 0.30 2937
id03354 102.896300 -4.600000 0.77 0.28 3025
id03355 102.733300 -4.513300 -1.00 -1.00 -1
id03356 102.633300 -4.378800 -1.00 -1.00 -1
id03357 102.500000 -4.275000 -1.00 -1.00 -1
id03358 102.366700 -4.172200 0.45 0.14 1972
id03359 102.250000 -4.066700 0.49 0.20 3663
id03360 102.170200 -3.900000 -1.00 -1.00 -1
id03361 102.100000 -3.748100 0.53 0.15 1110
id03362 101.955600 -3.666700 -1.00 -1.00 -1
id03363 101.800000 -3.586700 0.44 0.15 1748
id03364 101.621000 -3.533300 0.58 0.17 1099
id03365 101.533300 -3.366700 0.76 0.19 767
id03366 101.450500 -3.233300 0.63 0.17 971
id03367 101.347800 -3.100000 0.78 0.24 2145
id03368 101.300000 -2.919000 0.76 0.32 3841
id03369 101.197500 -2.800000 0.61 0.25 3810
id03370 101.100000 -2.650900 0.66 0.28 3825
