ID lon lat depth max_ssh min_ssh period polarity return_code
    1	+120.8333	+18.6672	 47	0.121	-0.155	 1357	 1	3
    2	+120.8721	+18.6333	-54	54.499	54.499	    0	 0	1
    3	+120.9333	+18.5795	123	0.149	-0.212	 1868	 1	3
    4	+121.0000	+18.6215	199	0.154	-0.183	 1197	 1	3
    5	+121.0667	+18.6484	105	0.221	-0.194	 1308	 1	3
    6	+121.1667	+18.6492	 91	0.276	-0.262	 2367	 1	3
    7	+121.2333	+18.6119	 50	0.293	-0.308	 2055	 1	3
    8	+121.2878	+18.5667	 26	0.503	-0.342	 2243	-1	3
    9	+121.3347	+18.5333	 10	0.594	-0.478	 2261	 1	3
   10	+121.4067	+18.5000	  7	0.418	-0.318	 2148	-1	3
   11	+121.4680	+18.4667	 15	0.315	-0.438	 1650	 1	3
   12	+121.5333	+18.4172	 30	0.295	-0.294	 1463	 1	3
   13	+121.6000	+18.3811	 25	0.415	-0.355	 2145	 1	3
   14	+121.7000	+18.3790	 33	0.258	-0.222	 1857	-1	3
   15	+121.8000	+18.3699	 18	0.386	-0.440	 2950	 1	3
   16	+121.8667	+18.3611	 25	0.432	-0.380	 2530	-1	3
   17	+121.9667	+18.3483	 28	0.359	-0.401	 4394	-1	3
   18	+122.0333	+18.3687	 23	0.379	-0.439	 3874	-1	3
   19	+122.0967	+18.4333	 34	0.386	-0.314	 2194	-1	3
   20	+122.1037	+18.5000	 97	0.191	-0.183	 1698	 1	3
   21	+122.1297	+18.6000	 85	0.216	-0.173	 1098	 1	3
   22	+122.1744	+18.6000	 28	0.337	-0.214	 1023	 1	3
   23	+122.2216	+18.5333	-12	11.686	11.686	    0	 0	1
   24	+122.2625	+18.4667	 32	0.577	-0.425	 1184	 1	3
   25	+122.3000	+18.4125	 29	0.379	-0.370	 1193	 1	3
   26	+122.3333	+18.3417	-53	53.311	53.311	    0	 0	1
   27	+122.3480	+18.2667	-30	30.186	30.186	    0	 0	1
   28	+122.3000	+18.2103	-102	101.874	101.874	    0	 0	1
   29	+122.2667	+18.1641	  5	0.266	-0.261	 1219	 1	3
   30	+122.2000	+18.1045	 63	0.310	-0.276	 1053	 1	3
   31	+122.1820	+18.0333	-290	290.311	290.311	    0	 0	1
   32	+122.1912	+17.9333	 41	0.253	-0.194	  940	 1	3
   33	+122.1676	+17.8333	  4	0.420	-0.381	 1593	 1	3
   34	+122.1639	+17.7667	 29	0.411	-0.386	 1191	 1	3
   35	+122.1775	+17.7000	-86	85.999	85.999	    0	 0	1
   36	+122.2000	+17.6200	 58	0.372	-0.346	 1162	 1	3
   37	+122.2210	+17.5333	 47	0.357	-0.345	 1548	 1	3
   38	+122.2667	+17.4857	 47	0.289	-0.408	 1735	 1	3
   39	+122.3415	+17.4667	115	0.234	-0.201	 1218	 1	3
   40	+122.4000	+17.4053	 30	0.221	-0.184	 1297	 1	3
   41	+122.4327	+17.3333	  9	0.231	-0.182	 1323	 1	3
   42	+122.4388	+17.2667	-18	17.936	17.936	    0	 0	1
   43	+122.4333	+17.1908	 -5	4.936	4.936	    0	 0	1
   44	+122.4667	+17.1347	 18	0.412	-0.399	 1578	 1	3
   45	+122.5398	+17.1333	  9	0.206	-0.239	 1330	 1	3
   46	+122.5350	+17.0333	 71	0.421	-0.336	 1098	 1	3
   47	+122.5060	+16.9667	 44	0.438	-0.405	 1162	 1	3
   48	+122.4825	+16.9000	-107	106.749	106.749	    0	 0	1
   49	+122.4585	+16.8333	 51	0.282	-0.374	 1384	 1	3
   50	+122.4333	+16.7596	 42	0.220	-0.208	 1395	 1	3
   51	+122.3912	+16.7000	 88	0.198	-0.188	 1151	 1	3
   52	+122.3500	+16.6333	230	0.164	-0.171	 1181	 1	3
   53	+122.3203	+16.5667	117	0.202	-0.198	  885	 1	3
   54	+122.2948	+16.5000	119	0.283	-0.247	  989	 1	3
   55	+122.2693	+16.4000	 58	0.278	-0.231	 1067	 1	3
   56	+122.2421	+16.3333	 22	0.294	-0.327	 1474	 1	3
