#id lon lat MIH hmax period
id03328 105.329400 -6.100000 0.46 0.17 2201
id03329 105.391400 -5.933300 0.51 0.21 2565
id03330 105.233300 -5.841900 0.52 0.19 1938
id03331 105.066700 -5.791500 0.59 0.21 1863
id03332 104.900000 -5.703600 0.74 0.25 1656
id03333 104.766700 -5.621200 0.97 0.24 748
id03334 104.600000 -5.552900 1.15 0.45 2363
id03335 104.660285 -5.697486 0.64 0.27 2677
id03336 104.717600 -5.866700 0.40 0.21 3506
id03337 104.728700 -6.033300 0.96 0.23 651
id03338 104.718100 -6.266700 0.85 0.26 1380
id03339 104.600000 -6.177800 0.95 0.29 1319
id03340 104.516000 -6.033300 1.13 0.28 655
id03341 104.433300 -5.888500 0.59 0.18 1429
id03342 104.335000 -5.733300 1.03 0.25 626
id03343 104.256000 -5.600000 0.83 0.26 1416
id03344 104.131800 -5.500000 0.62 0.20 1564
id03345 104.023800 -5.366700 1.10 0.30 905
id03346 103.900000 -5.240300 0.82 0.19 524
id03347 103.866700 -5.125000 -1.00 -1.00 -1
id03348 103.730600 -5.033300 1.16 0.42 1946
id03349 103.566700 -4.939100 0.84 0.32 2204
id03350 103.405200 -4.866700 0.87 0.27 1353
id03351 103.290200 -4.766700 1.24 0.28 45
id03352 103.142900 -4.700000 1.28 0.34 906
id03353 103.033300 -4.611500 0.58 0.12 255
id03354 102.896300 -4.600000 0.90 0.21 536
id03355 102.733300 -4.513300 0.75 0.17 45
id03356 102.633300 -4.378800 1.08 0.24 45
id03357 102.500000 -4.275000 0.71 0.23 1586
id03358 102.366700 -4.172200 1.10 0.23 371
id03359 102.250000 -4.066700 0.59 0.25 2729
id03360 102.170200 -3.900000 0.86 0.25 1149
id03361 102.100000 -3.748100 0.81 0.23 1072
id03362 101.955600 -3.666700 0.93 0.27 1132
id03363 101.800000 -3.586700 0.56 0.23 2617
id03364 101.621000 -3.533300 0.47 0.17 1833
id03365 101.533300 -3.366700 0.74 0.21 1084
id03366 101.450500 -3.233300 0.65 0.17 862
id03367 101.347800 -3.100000 0.57 0.18 1499
id03368 101.300000 -2.919000 0.89 0.20 456
id03369 101.197500 -2.800000 0.66 0.24 1912
id03370 101.100000 -2.650900 0.36 0.16 2804
id03371 100.999000 -2.533300 0.40 0.16 2489
id03372 100.889900 -2.400000 0.67 0.17 702
id03373 100.800000 -2.238100 0.66 0.20 1359
id03374 100.760000 -2.133300 0.91 0.21 578
id03375 100.800000 -2.000000 0.64 0.27 4165
id03376 100.736100 -1.866700 0.49 0.26 4403
id03377 100.700000 -1.933300 1.01 0.25 682
id03378 100.700000 -2.050000 0.78 0.24 1286
id03379 100.633300 -1.949500 0.77 0.22 1055
id03380 100.554700 -1.800000 0.67 0.23 1688
id03381 100.499700 -1.633300 0.75 0.25 1672
id03382 100.496700 -1.466700 0.87 0.26 1323
id03383 100.377800 -1.333300 0.62 0.28 2894
id03384 100.299200 -1.266700 0.75 0.28 2103
id03385 100.310300 -1.066700 0.92 0.23 726
id03386 100.305700 -0.900000 1.19 0.42 2838
id03387 100.166700 -0.822200 0.92 0.29 2291
id03388 100.081700 -0.666700 0.58 0.19 1680
id03389 99.966700 -0.545600 1.03 0.21 1406
id03390 99.807400 -0.466700 1.00 0.24 2605
id03391 99.766700 -0.364100 1.05 0.26 3011
id03392 99.657100 -0.300000 1.28 0.22 1740
id03393 99.619600 -0.100000 1.73 0.28 1203
id03394 99.433300 -0.062500 1.23 0.31 3138
id03395 99.266700 -0.066700 1.96 0.32 1013
id03396 99.100000 -0.116700 1.46 0.31 1716
id03397 98.900000 -0.094900 1.26 0.29 2444
id03398 98.711100 -0.133300 1.06 0.24 2112
id03399 98.612700 -0.266700 1.84 0.38 1368
id03400 98.547600 -0.433300 2.23 0.47 1537
id03401 98.521700 -0.633300 3.23 0.56 453
id03402 98.333300 -0.600000 5.39 0.99 674
