url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/README.md,20,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,18,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/edit/main/README.md,17,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.md,16,5
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report,7,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/global_ampf_v01.txt,7,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.html,5,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main,5,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/releases/tag/v1.0.0,4,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute,4,2
