url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main,7,4
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v3.0.0/calculate_MIH/example_HySEA,6,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/Glimsdal_etal_ampfactors_paper.pdf,3,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,2,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_AF,2,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_MIH,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/ampfactors,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_MIH/example_HySEA,1,1
