url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/v2.0.0/global_ampf_v01.txt,2,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/v2.0.0/Glimsdal_etal_ampfactors_paper.pdf,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/v2.0.0/README.md,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.0,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.0/.github/workflows,1,1
