url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,24,4
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report,15,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report,13,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/edit/main/README.md,9,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/README.md,8,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/releases,7,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tags,7,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.pdf,6,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors,6,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main,6,2
