url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report,15,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,13,5
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.pdf,10,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report,8,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/README.md,6,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/branches,6,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.0,4,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.md,4,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/README.md,4,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/factors_global_idealized_profiles,4,2
