url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,10,5
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/README.md,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/branches,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/edit/main/README.md,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tags,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/upload,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/upload/main,1,1
