url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,6,5
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/v3.0.0/calculate_MIH/example_HySEA/computed_MIH.txt,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v3.0.0/calculate_MIH/example_HySEA,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/v3.0.0/calculate_MIH/calculate_MIH_HySEA.py,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/v3.0.0/calculate_MIH/example_HySEA/calculated_MIH_HySEA.txt,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v3.0.0/calculate_MIH,1,1
