url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,2,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.1,2,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.0,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.pdf,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.0/.github/workflows,1,1
