url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,16,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/.github/workflows,8,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions,7,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/ghrs-data/views_clones_aggregate.csv,6,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions/workflows/github-repo-stats.yml,5,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors,5,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.pdf,4,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/branches,4,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions/runs/8066870382,4,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats,2,2
