url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.md,10,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,7,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/edit/main/README.md,7,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/README.md,6,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/v2.0.0/README.md,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/releases,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/releases/tag/v2.0.0,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tags,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.0,1,1
