url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,8,5
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.pdf,8,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/README.md,6,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.0,3,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/.github/workflows,3,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/ghrs-data/snapshots/2024-02-28_230207_top_paths_snapshot.csv,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report_for_pdf.html,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.md,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/README.md,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/branches,2,1
