url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,6,4
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions,4,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions/workflows/github-repo-stats.yml,3,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report/report.pdf,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/latest-report,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.1,1,1
