url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,4,4
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v3.0.0,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions/runs/13124547825/workflow,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/v3.0.0/README.md,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v3.0.0/ampfactors,1,1
