url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,16,10
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v3.0.0/calculate_MIH/example_HySEA,8,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main,6,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_AF,6,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/Glimsdal_etal_ampfactors_paper.pdf,5,4
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_MIH,3,3
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/README.md,3,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_AF/sct,3,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/calculate_AF/README.txt,2,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/calculate_MIH/README.txt,2,2
