time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-03 00:00:00+00:00,93.0,24.0,,
2025-12-04 00:00:00+00:00,15.0,6.0,1.0,1.0
2025-12-05 00:00:00+00:00,6.0,5.0,,
2025-12-06 00:00:00+00:00,6.0,6.0,,
2025-12-07 00:00:00+00:00,1.0,1.0,,
2025-12-08 00:00:00+00:00,1.0,1.0,5.0,1.0
2025-12-09 00:00:00+00:00,1.0,1.0,,
2025-12-10 00:00:00+00:00,2.0,2.0,,
2025-12-11 00:00:00+00:00,1.0,1.0,,
2025-12-12 00:00:00+00:00,1.0,1.0,,
2025-12-13 00:00:00+00:00,1.0,1.0,,
2025-12-14 00:00:00+00:00,1.0,1.0,,
2025-12-15 00:00:00+00:00,17.0,9.0,9.0,1.0
2025-12-16 00:00:00+00:00,,,1.0,1.0
