url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/ampfactors/global_ampf_v04.txt,4,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,3,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_AF,3,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/postprocess_HySEA/README.txt,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/README.md,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/calculate_AF/README.txt,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/calculate_AF/location.txt,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/main/requirements.txt,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/ampfactors,1,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/main/calculate_MIH,1,1
